accession	header
P01012	sp|P01012|OVAL_CHICK Ovalbumin OS=Gallus gallus GN=SERPINB14 PE=1 SV=2
P01030	sp|P01030|CO4_BOVIN Complement C4 (Fragments) OS=Bos taurus GN=C4 PE=1 SV=2
P01044	sp|P01044|KNG1_BOVIN Kininogen-1 OS=Bos taurus GN=KNG1 PE=1 SV=1
P01045	sp|P01045|KNG2_BOVIN Kininogen-2 OS=Bos taurus GN=KNG2 PE=1 SV=1
P01682	sp|P01682|KV01_RABIT Ig kappa chain V region 2717 OS=Oryctolagus cuniculus PE=1 SV=1
P01683	sp|P01683|KV02_RABIT Ig kappa chain V region 3315 OS=Oryctolagus cuniculus PE=1 SV=1
P01684	sp|P01684|KV03_RABIT Ig kappa chain V region 3374 OS=Oryctolagus cuniculus PE=1 SV=1
P01685	sp|P01685|KV04_RABIT Ig kappa chain V region 4135 OS=Oryctolagus cuniculus PE=1 SV=1
P01686	sp|P01686|KV05_RABIT Ig kappa chain V region BS-1 OS=Oryctolagus cuniculus PE=1 SV=1
P01687	sp|P01687|KV06_RABIT Ig kappa chain V region BS-5 OS=Oryctolagus cuniculus PE=1 SV=1
P01688	sp|P01688|KV07_RABIT Ig kappa chain V region K-25 OS=Oryctolagus cuniculus PE=1 SV=1
P01689	sp|P01689|KV08_RABIT Ig kappa chain V region 120 OS=Oryctolagus cuniculus PE=1 SV=1
P01690	sp|P01690|KV09_RABIT Ig kappa chain V region 3381 (Fragment) OS=Oryctolagus cuniculus PE=1 SV=1
P01691	sp|P01691|KV10_RABIT Ig kappa chain V region 12F2 (Fragment) OS=Oryctolagus cuniculus PE=2 SV=1
P01693	sp|P01693|KV12_RABIT Ig kappa chain V region 3368 OS=Oryctolagus cuniculus PE=1 SV=1
P01694	sp|P01694|KV13_RABIT Ig kappa chain V region 3547 OS=Oryctolagus cuniculus PE=1 SV=1
P01695	sp|P01695|KV14_RABIT Ig kappa chain V region K16-167 OS=Oryctolagus cuniculus PE=1 SV=1
P01697	sp|P01697|KV16_RABIT Ig kappa chain V region AH80-5 OS=Oryctolagus cuniculus PE=1 SV=1
P01741	sp|P01741|HVM00_MOUSE Ig heavy chain V region OS=Mus musculus PE=1 SV=1
P01745	sp|P01745|HVM01_MOUSE Ig heavy chain V region MPC 11 OS=Mus musculus PE=4 SV=1
P01746	sp|P01746|HVM02_MOUSE Ig heavy chain V region 93G7 OS=Mus musculus PE=2 SV=1
P01747	sp|P01747|HVM03_MOUSE Ig heavy chain V region 36-65 OS=Mus musculus PE=1 SV=1
P01748	sp|P01748|HVM04_MOUSE Ig heavy chain V region 23 OS=Mus musculus PE=4 SV=1
P01749	sp|P01749|HVM05_MOUSE Ig heavy chain V region 3 OS=Mus musculus GN=Ighv1-61 PE=1 SV=1
P01750	sp|P01750|HVM06_MOUSE Ig heavy chain V region 102 OS=Mus musculus PE=1 SV=1
P01751	sp|P01751|HVM07_MOUSE Ig heavy chain V region B1-8/186-2 OS=Mus musculus GN=Ighv1-72 PE=1 SV=1
P01753	sp|P01753|HVM09_MOUSE Ig heavy chain V region 186-1 OS=Mus musculus PE=4 SV=2
P01754	sp|P01754|HVM10_MOUSE Ig heavy chain V region 1-62-3 OS=Mus musculus GN=Ighv1-62-3 PE=4 SV=2
P01755	sp|P01755|HVM11_MOUSE Ig heavy chain V region S43 OS=Mus musculus PE=1 SV=1
P01756	sp|P01756|HVM12_MOUSE Ig heavy chain V region MOPC 104E OS=Mus musculus PE=1 SV=1
P01757	sp|P01757|HVM13_MOUSE Ig heavy chain V region J558 OS=Mus musculus PE=1 SV=1
P01758	sp|P01758|HVM14_MOUSE Ig heavy chain V region 108A OS=Mus musculus GN=Igh-VJ558 PE=4 SV=1
P01759	sp|P01759|HVM15_MOUSE Ig heavy chain V region BCL1 OS=Mus musculus PE=4 SV=1
P01783	sp|P01783|HVM16_MOUSE Ig heavy chain V region MOPC 21 (Fragment) OS=Mus musculus PE=1 SV=1
P01786	sp|P01786|HVM17_MOUSE Ig heavy chain V region MOPC 47A OS=Mus musculus PE=1 SV=1
P01787	sp|P01787|HVM18_MOUSE Ig heavy chain V regions TEPC 15/S107/HPCM1/HPCM2/HPCM3 OS=Mus musculus PE=1 SV=1
P01788	sp|P01788|HVM19_MOUSE Ig heavy chain V region H8 OS=Mus musculus PE=1 SV=1
P01789	sp|P01789|HVM20_MOUSE Ig heavy chain V region M603 OS=Mus musculus PE=1 SV=1
P01790	sp|P01790|HVM21_MOUSE Ig heavy chain V region M511 OS=Mus musculus PE=1 SV=1
P01791	sp|P01791|HVM22_MOUSE Ig heavy chain V region HPCM6 OS=Mus musculus PE=1 SV=1
P01792	sp|P01792|HVM23_MOUSE Ig heavy chain V region HPCG8 OS=Mus musculus PE=1 SV=1
P01793	sp|P01793|HVM24_MOUSE Ig heavy chain V region HPCG13 OS=Mus musculus PE=1 SV=1
P01794	sp|P01794|HVM25_MOUSE Ig heavy chain V region HPCG14 OS=Mus musculus PE=1 SV=1
P01795	sp|P01795|HVM26_MOUSE Ig heavy chain V region M167 OS=Mus musculus PE=1 SV=1
P01796	sp|P01796|HVM27_MOUSE Ig heavy chain V-III region A4 OS=Mus musculus PE=1 SV=1
P01797	sp|P01797|HVM28_MOUSE Ig heavy chain V-III region U61 OS=Mus musculus PE=1 SV=1
P01798	sp|P01798|HVM29_MOUSE Ig heavy chain V-III region E109 OS=Mus musculus PE=1 SV=1
P01799	sp|P01799|HVM30_MOUSE Ig heavy chain V-III region ABE-47N OS=Mus musculus PE=1 SV=1
P01800	sp|P01800|HVM31_MOUSE Ig heavy chain V-III region T957 OS=Mus musculus PE=1 SV=2
P01801	sp|P01801|HVM32_MOUSE Ig heavy chain V-III region J606 OS=Mus musculus PE=1 SV=1
P01802	sp|P01802|HVM33_MOUSE Ig heavy chain V-III region W3082 OS=Mus musculus PE=1 SV=1
P01803	sp|P01803|HVM34_MOUSE Ig heavy chain V region AMPC1 OS=Mus musculus PE=1 SV=1
P01804	sp|P01804|HVM35_MOUSE Ig heavy chain V-III region HPC76 (Fragment) OS=Mus musculus PE=4 SV=1
P01806	sp|P01806|HVM36_MOUSE Ig heavy chain V region 441 OS=Mus musculus PE=4 SV=1
P01807	sp|P01807|HVM37_MOUSE Ig heavy chain V region X44 OS=Mus musculus PE=1 SV=1
P01808	sp|P01808|HVM38_MOUSE Ig heavy chain V region T601 OS=Mus musculus PE=1 SV=1
P01809	sp|P01809|HVM39_MOUSE Ig heavy chain V region X24 OS=Mus musculus PE=1 SV=1
P01810	sp|P01810|HVM40_MOUSE Ig heavy chain V region J539 OS=Mus musculus PE=1 SV=1
P01811	sp|P01811|HVM41_MOUSE Ig heavy chain V region UPC10 OS=Mus musculus PE=1 SV=1
P01812	sp|P01812|HVM42_MOUSE Ig heavy chain V region MOPC 173 OS=Mus musculus PE=1 SV=1
P01819	sp|P01819|HVM43_MOUSE Ig heavy chain V region MOPC 141 OS=Mus musculus PE=4 SV=1
P01820	sp|P01820|HVM44_MOUSE Ig heavy chain V region PJ14 OS=Mus musculus PE=1 SV=1
P01821	sp|P01821|HVM45_MOUSE Ig heavy chain V region MC101 OS=Mus musculus PE=1 SV=1
P01822	sp|P01822|HVM46_MOUSE Ig heavy chain V region MOPC 315 OS=Mus musculus PE=1 SV=2
P01823	sp|P01823|HVM47_MOUSE Ig heavy chain V region 36-60 OS=Mus musculus PE=1 SV=1
P01826	sp|P01826|HV1A_RABIT Ig heavy chain V-A1 region BS-5 OS=Oryctolagus cuniculus PE=1 SV=1
P01827	sp|P01827|HV2A_RABIT Ig heavy chain V-A2 region BS-1 OS=Oryctolagus cuniculus PE=1 SV=1
P01828	sp|P01828|HV2B_RABIT Ig heavy chain V-A2 region K-25 OS=Oryctolagus cuniculus PE=1 SV=1
P01829	sp|P01829|HV2C_RABIT Ig heavy chain V-A2 region P-MU-3 OS=Oryctolagus cuniculus PE=4 SV=1
P01839	sp|P01839|KACB_RABIT Ig kappa-b4 chain C region OS=Oryctolagus cuniculus GN=K-BAS PE=4 SV=1
P01840	sp|P01840|KAC4_RABIT Ig kappa-b4 chain C region OS=Oryctolagus cuniculus PE=1 SV=1
P01841	sp|P01841|KAC5_RABIT Ig kappa-b5 chain C region OS=Oryctolagus cuniculus PE=1 SV=1
P01847	sp|P01847|LAC_RABIT Ig lambda chain C region OS=Oryctolagus cuniculus PE=1 SV=2
P01862	sp|P01862|IGHG2_CAVPO Ig gamma-2 chain C region OS=Cavia porcellus PE=1 SV=1
P01863	"sp|P01863|GCAA_MOUSE Ig gamma-2A chain C region, A allele OS=Mus musculus GN=Ighg PE=1 SV=1"
P01864	sp|P01864|GCAB_MOUSE Ig gamma-2A chain C region secreted form OS=Mus musculus PE=1 SV=1
P01865	"sp|P01865|GCAM_MOUSE Ig gamma-2A chain C region, membrane-bound form OS=Mus musculus GN=Igh-1a PE=1 SV=3"
P01867	sp|P01867|IGG2B_MOUSE Ig gamma-2B chain C region OS=Mus musculus GN=Igh-3 PE=1 SV=3
P01868	sp|P01868|IGHG1_MOUSE Ig gamma-1 chain C region secreted form OS=Mus musculus GN=Ighg1 PE=1 SV=1
P01869	"sp|P01869|IGH1M_MOUSE Ig gamma-1 chain C region, membrane-bound form OS=Mus musculus GN=Ighg1 PE=1 SV=2"
P01870	sp|P01870|IGHG_RABIT Ig gamma chain C region OS=Oryctolagus cuniculus PE=1 SV=1
P01879	sp|P01879|IGHA_RABIT Ig alpha chain C region (Fragment) OS=Oryctolagus cuniculus PE=2 SV=1
P01966	sp|P01966|HBA_BOVIN Hemoglobin subunit alpha OS=Bos taurus GN=HBA PE=1 SV=2
P02070	sp|P02070|HBB_BOVIN Hemoglobin subunit beta OS=Bos taurus GN=HBB PE=1 SV=1
P02081	sp|P02081|HBBF_BOVIN Hemoglobin fetal subunit beta OS=Bos taurus PE=1 SV=1
P02438	"sp|P02438|KRB2A_SHEEP Keratin, high-sulfur matrix protein, B2A OS=Ovis aries PE=1 SV=2"
P02439	"sp|P02439|KRB2B_SHEEP Keratin, high-sulfur matrix protein, B2B OS=Ovis aries PE=1 SV=1"
P02440	"sp|P02440|KRB2C_SHEEP Keratin, high-sulfur matrix protein, B2C OS=Ovis aries PE=1 SV=2"
P02441	"sp|P02441|KRA3_SHEEP Keratin, high-sulfur matrix protein, IIIA3 OS=Ovis aries PE=1 SV=1"
P02443	"sp|P02443|KRA3A_SHEEP Keratin, high-sulfur matrix protein, IIIA3A OS=Ovis aries PE=1 SV=1"
P02444	"sp|P02444|KRA33_SHEEP Keratin, high sulfur matrix protein, IIIB3 OS=Ovis aries PE=1 SV=1"
P02445	"sp|P02445|KRA34_SHEEP Keratin, high sulfur matrix protein, IIIB4 OS=Ovis aries PE=1 SV=1"
P02533	"sp|P02533|K1C14_HUMAN Keratin, type I cytoskeletal 14 OS=Homo sapiens GN=KRT14 PE=1 SV=4"
P02534	"sp|P02534|K1M1_SHEEP Keratin, type I microfibrillar 48 kDa, component 8C-1 OS=Ovis aries PE=1 SV=2"
P02535	"sp|P02535|K1C10_MOUSE Keratin, type I cytoskeletal 10 OS=Mus musculus GN=Krt10 PE=1 SV=3"
P02538	"sp|P02538|K2C6A_HUMAN Keratin, type II cytoskeletal 6A OS=Homo sapiens GN=KRT6A PE=1 SV=3"
P02539	"sp|P02539|K2M1_SHEEP Keratin, type II microfibrillar (Fragment) OS=Ovis aries PE=1 SV=1"
P02584	sp|P02584|PROF1_BOVIN Profilin-1 OS=Bos taurus GN=PFN1 PE=1 SV=2
P02662	sp|P02662|CASA1_BOVIN Alpha-S1-casein OS=Bos taurus GN=CSN1S1 PE=1 SV=2
P02663	sp|P02663|CASA2_BOVIN Alpha-S2-casein OS=Bos taurus GN=CSN1S2 PE=1 SV=2
P02666	sp|P02666|CASB_BOVIN Beta-casein OS=Bos taurus GN=CSN2 PE=1 SV=2
P02668	sp|P02668|CASK_BOVIN Kappa-casein OS=Bos taurus GN=CSN3 PE=1 SV=1
P02672	sp|P02672|FIBA_BOVIN Fibrinogen alpha chain OS=Bos taurus GN=FGA PE=1 SV=5
P02676	sp|P02676|FIBB_BOVIN Fibrinogen beta chain OS=Bos taurus GN=FGB PE=1 SV=2
P02701	sp|P02701|AVID_CHICK Avidin OS=Gallus gallus GN=AVD PE=1 SV=3
P02754	sp|P02754|LACB_BOVIN Beta-lactoglobulin OS=Bos taurus GN=LGB PE=1 SV=3
P02768	sp|P02768|ALBU_HUMAN Serum albumin OS=Homo sapiens GN=ALB PE=1 SV=2
P02769	sp|P02769|ALBU_BOVIN Serum albumin OS=Bos taurus GN=ALB PE=1 SV=4
P02777	sp|P02777|PLF4_BOVIN Platelet factor 4 OS=Bos taurus GN=PF4 PE=1 SV=1
P03980	sp|P03980|HVM48_MOUSE Ig heavy chain V region TEPC 1017 OS=Mus musculus PE=4 SV=1
P03984	sp|P03984|KAC6_RABIT Ig kappa chain b5 variant C region OS=Oryctolagus cuniculus PE=2 SV=1
P03987	sp|P03987|IGHG3_MOUSE Ig gamma-3 chain C region OS=Mus musculus PE=1 SV=2
P04258	sp|P04258|CO3A1_BOVIN Collagen alpha-1(III) chain OS=Bos taurus GN=COL3A1 PE=1 SV=1
P04259	"sp|P04259|K2C6B_HUMAN Keratin, type II cytoskeletal 6B OS=Homo sapiens GN=KRT6B PE=1 SV=5"
P04264	"sp|P04264|K2C1_HUMAN Keratin, type II cytoskeletal 1 OS=Homo sapiens GN=KRT1 PE=1 SV=6"
P04745	sp|P04745|AMY1_HUMAN Alpha-amylase 1 OS=Homo sapiens GN=AMY1A PE=1 SV=2
P05784	"sp|P05784|K1C18_MOUSE Keratin, type I cytoskeletal 18 OS=Mus musculus GN=Krt18 PE=1 SV=5"
P05787	"sp|P05787|K2C8_HUMAN Keratin, type II cytoskeletal 8 OS=Homo sapiens GN=KRT8 PE=1 SV=7"
P06327	sp|P06327|HVM52_MOUSE Ig heavy chain V region VH558 A1/A4 OS=Mus musculus GN=Gm5629 PE=2 SV=1
P06328	sp|P06328|HVM49_MOUSE Ig heavy chain V region VH558 B4 OS=Mus musculus PE=1 SV=1
P06329	sp|P06329|HVM50_MOUSE Ig heavy chain V region AC38 15.3 OS=Mus musculus PE=1 SV=1
P06330	sp|P06330|HVM51_MOUSE Ig heavy chain V region AC38 205.12 OS=Mus musculus PE=1 SV=1
P06709	sp|P06709|BIRA_ECOLI Bifunctional ligase/repressor BirA OS=Escherichia coli (strain K12) GN=birA PE=1 SV=1
P06868	sp|P06868|PLMN_BOVIN Plasminogen OS=Bos taurus GN=PLG PE=1 SV=2
P07224	sp|P07224|PROS_BOVIN Vitamin K-dependent protein S OS=Bos taurus GN=PROS1 PE=1 SV=1
P07744	"sp|P07744|K2C4_MOUSE Keratin, type II cytoskeletal 4 OS=Mus musculus GN=Krt4 PE=1 SV=2"
P08131	"sp|P08131|KRB2D_SHEEP Keratin, high-sulfur matrix protein, B2D OS=Ovis aries PE=4 SV=2"
P08515	sp|P08515|GST26_SCHJA Glutathione S-transferase class-mu 26 kDa isozyme OS=Schistosoma japonicum PE=1 SV=3
P08727	"sp|P08727|K1C19_HUMAN Keratin, type I cytoskeletal 19 OS=Homo sapiens GN=KRT19 PE=1 SV=4"
P08729	"sp|P08729|K2C7_HUMAN Keratin, type II cytoskeletal 7 OS=Homo sapiens GN=KRT7 PE=1 SV=5"
P08730	"sp|P08730|K1C13_MOUSE Keratin, type I cytoskeletal 13 OS=Mus musculus GN=Krt13 PE=1 SV=2"
P08779	"sp|P08779|K1C16_HUMAN Keratin, type I cytoskeletal 16 OS=Homo sapiens GN=KRT16 PE=1 SV=4"
P09870	sp|P09870|CLOS_CLOHI Clostripain (Endoproteinase Arg-C) OS=Clostridium histolyticum GN=cloSI PE=1 SV=2
P0AEX9	sp|P0AEX9|MALE_ECOLI Maltose-binding periplasmic protein OS=Escherichia coli (strain K12) GN=malE PE=1 SV=1
P0C1U8	sp|P0C1U8|SSPA_STAAU Glutamyl endopeptidase (Endoproteinase Glu-C) OS=Staphylococcus aureus GN=sspA PE=1 SV=1
P12035	"sp|P12035|K2C3_HUMAN Keratin, type II cytoskeletal 3 OS=Homo sapiens GN=KRT3 PE=1 SV=3"
P12763	sp|P12763|FETUA_BOVIN Alpha-2-HS-glycoprotein OS=Bos taurus GN=AHSG PE=1 SV=2
P13645	"sp|P13645|K1C10_HUMAN Keratin, type I cytoskeletal 10 OS=Homo sapiens GN=KRT10 PE=1 SV=6"
P13646	"sp|P13646|K1C13_HUMAN Keratin, type I cytoskeletal 13 OS=Homo sapiens GN=KRT13 PE=1 SV=4"
P13647	"sp|P13647|K2C5_HUMAN Keratin, type II cytoskeletal 5 OS=Homo sapiens GN=KRT5 PE=1 SV=3"
P13717	sp|P13717|NUCA_SERMA Nuclease (Benzonase) OS=Serratia marcescens GN=nucA PE=1 SV=2
P15241	"sp|P15241|K2M2_SHEEP Keratin, type II microfibrillar, component 7C OS=Ovis aries PE=1 SV=1"
P15252	sp|P15252|REF_HEVBR Rubber elongation factor protein OS=Hevea brasiliensis PE=1 SV=2
P15497	sp|P15497|APOA1_BOVIN Apolipoprotein A-I OS=Bos taurus GN=APOA1 PE=1 SV=3
P15636	sp|P15636|API_ACHLY Protease 1 OS=Achromobacter lyticus PE=1 SV=1
P17690	sp|P17690|APOH_BOVIN Beta-2-glycoprotein 1 OS=Bos taurus GN=APOH PE=1 SV=4
P17697	sp|P17697|CLUS_BOVIN Clusterin OS=Bos taurus GN=CLU PE=1 SV=1
P18524	sp|P18524|HVM53_MOUSE Ig heavy chain V region RF OS=Mus musculus PE=1 SV=1
P18525	sp|P18525|HVM54_MOUSE Ig heavy chain V region 5-84 OS=Mus musculus PE=1 SV=1
P18526	sp|P18526|HVM55_MOUSE Ig heavy chain V region 345 OS=Mus musculus PE=1 SV=1
P18527	sp|P18527|HVM56_MOUSE Ig heavy chain V region 914 OS=Mus musculus PE=1 SV=1
P18528	sp|P18528|HVM57_MOUSE Ig heavy chain V region 6.96 OS=Mus musculus PE=4 SV=1
P18529	sp|P18529|HVM58_MOUSE Ig heavy chain V region 5-76 OS=Mus musculus PE=1 SV=1
P18530	sp|P18530|HVM59_MOUSE Ig heavy chain V region 7-39 OS=Mus musculus PE=4 SV=1
P18531	sp|P18531|HVM60_MOUSE Ig heavy chain V region 3-6 OS=Mus musculus GN=Ighv3-6 PE=1 SV=1
P18532	sp|P18532|HVM61_MOUSE Ig heavy chain V region 1B43 OS=Mus musculus PE=1 SV=1
P18533	sp|P18533|HVM62_MOUSE Ig heavy chain V region 733 OS=Mus musculus PE=4 SV=1
P19001	"sp|P19001|K1C19_MOUSE Keratin, type I cytoskeletal 19 OS=Mus musculus GN=Krt19 PE=1 SV=1"
P19012	"sp|P19012|K1C15_HUMAN Keratin, type I cytoskeletal 15 OS=Homo sapiens GN=KRT15 PE=1 SV=3"
P19013	"sp|P19013|K2C4_HUMAN Keratin, type II cytoskeletal 4 OS=Homo sapiens GN=KRT4 PE=1 SV=4"
P20759	sp|P20759|IGHG1_RAT Ig gamma-1 chain C region OS=Rattus norvegicus PE=1 SV=1
P20760	sp|P20760|IGG2A_RAT Ig gamma-2A chain C region OS=Rattus norvegicus GN=Igg-2a PE=1 SV=1
P20761	sp|P20761|IGG2B_RAT Ig gamma-2B chain C region OS=Rattus norvegicus GN=Igh-1a PE=1 SV=1
P20762	sp|P20762|IGG2C_RAT Ig gamma-2C chain C region OS=Rattus norvegicus PE=2 SV=1
P20930	sp|P20930|FILA_HUMAN Filaggrin OS=Homo sapiens GN=FLG PE=1 SV=3
P21578	sp|P21578|LUXY_ALIFS Yellow fluorescent protein OS=Aliivibrio fischeri GN=luxY PE=1 SV=1
P21752	sp|P21752|TYB10_BOVIN Thymosin beta-10 OS=Bos taurus GN=TMSB10 PE=1 SV=2
P22629	sp|P22629|SAV_STRAV Streptavidin OS=Streptomyces avidinii PE=1 SV=1
P23108	sp|P23108|IGJ_RABIT Immunoglobulin J chain OS=Oryctolagus cuniculus GN=JCHAIN PE=1 SV=1
P25690	"sp|P25690|K1M2_SHEEP Keratin, type I microfibrillar, 47.6 kDa OS=Ovis aries PE=3 SV=2"
P25691	"sp|P25691|K2M3_SHEEP Keratin, type II microfibrillar, component 5 OS=Ovis aries PE=1 SV=1"
P26372	"sp|P26372|KRUC_SHEEP Keratin, ultra high-sulfur matrix protein OS=Ovis aries PE=2 SV=1"
P28800	sp|P28800|A2AP_BOVIN Alpha-2-antiplasmin OS=Bos taurus GN=SERPINF2 PE=1 SV=2
P30879	sp|P30879|PEPC_PIG Gastricsin (Fragment) OS=Sus scrofa GN=PGC PE=1 SV=1
P31096	sp|P31096|OSTP_BOVIN Osteopontin OS=Bos taurus GN=SPP1 PE=1 SV=2
P32503	sp|P32503|GAG_SCVLA Major capsid protein OS=Saccharomyces cerevisiae virus L-A GN=gag PE=1 SV=1
P34955	sp|P34955|A1AT_BOVIN Alpha-1-antiproteinase OS=Bos taurus GN=SERPINA1 PE=1 SV=1
P35445	sp|P35445|COMP_BOVIN Cartilage oligomeric matrix protein OS=Bos taurus GN=COMP PE=1 SV=2
P35527	"sp|P35527|K1C9_HUMAN Keratin, type I cytoskeletal 9 OS=Homo sapiens GN=KRT9 PE=1 SV=3"
